regnr,model_year,fuel,body_type,price_sek,odometer_km,price_per_1000km,url
YCP674,2016,Bensin,SUV,135000,70390,1917.89,https://www.blocket.se/annons/1401808551
SSX945,2017,Diesel,Skåpbil,199000,210810,943.98,https://www.blocket.se/annons/1401817994
YKS807,2017,Diesel,Kombi,185000,185370,998.0,https://www.blocket.se/annons/1401814265
ECF997,2018,Miljöbränsle/Hybrid,Kombi,178000,63810,2789.53,https://www.blocket.se/annons/1401818739
UKM645,2017,Diesel,Skåpbil,110000,198810,553.29,https://www.blocket.se/annons/1401814832
XBJ40Y,2019,El,SUV,519000,105000,4942.86,https://www.blocket.se/annons/1401660293
OBS852,2016,Diesel,Kombi,165000,184380,894.89,https://www.blocket.se/annons/1401818153
GKY449,2015,Diesel,SUV,135000,137090,984.75,https://www.blocket.se/annons/1401811360
BFM093,2019,Bensin,Kombi,179900,83040,2166.43,https://www.blocket.se/annons/1401811748
JHM179,2016,Diesel,Familjebuss,295000,264320,1116.07,https://www.blocket.se/annons/1401825258
ORX856,2018,Bensin,Halvkombi,190000,75890,2503.62,https://www.blocket.se/annons/1401816627
AUF11W,2017,Miljöbränsle/Hybrid,SUV,172499,125690,1372.42,https://www.blocket.se/annons/1401818197
REK15K,2019,Bensin,SUV,219000,148990,1469.9,https://www.blocket.se/annons/1401813671
AHN684,2018,Diesel,Kombi,140000,211500,661.94,https://www.blocket.se/annons/1401822707
PET253,2017,Diesel,Kombi,299999,133760,2242.82,https://www.blocket.se/annons/1401821198
THT79A,2023,El,Halvkombi,320000,35000,9142.86,https://www.blocket.se/annons/1401669740
MSB72G,2020,Diesel,SUV,235000,87000,2701.15,https://www.blocket.se/annons/1401671999
NDS22U,2021,Bensin,Halvkombi,155000,101000,1534.65,https://www.blocket.se/annons/1401807524
HCR436,2015,Diesel,Skåpbil,69900,126340,553.27,https://www.blocket.se/annons/1401820565
OTZ984,2015,Diesel,SUV,195000,149940,1300.52,https://www.blocket.se/annons/1401703127
NWS686,2018,Diesel,Halvkombi,215000,95880,2242.39,https://www.blocket.se/annons/1401819735
EKE267,2020,Diesel,Kombi,168000,270000,622.22,https://www.blocket.se/annons/1401822894
FZT939,2015,Bensin,Coupé,149990,102000,1470.49,https://www.blocket.se/annons/1401811907
YLT831,2017,Bensin,Halvkombi,149000,90610,1644.41,https://www.blocket.se/annons/1401756417
YXA166,2019,Bensin,Kombi,260000,151090,1720.83,https://www.blocket.se/annons/1401809624
OEF111,2017,Diesel,SUV,265000,114640,2311.58,https://www.blocket.se/annons/1401812738
XDK08Z,2022,El,SUV,299000,40980,7296.24,https://www.blocket.se/annons/1401819941
YFE883,2017,Diesel,SUV,165000,175000,942.86,https://www.blocket.se/annons/1401821276
OED545,2017,Diesel,Kombi,198000,163890,1208.13,https://www.blocket.se/annons/1401814563
YLS540,2017,Bensin,Halvkombi,79000,148220,532.99,https://www.blocket.se/annons/1401824559
OXO695,2018,Bensin,SUV,180000,129000,1395.35,https://www.blocket.se/annons/1401817949
OBB911,2018,Diesel,Kombi,195000,146240,1333.42,https://www.blocket.se/annons/1401819524
TJD425,2015,Diesel,Skåpbil,79900,158240,504.93,https://www.blocket.se/annons/1401771738
FNB192,2015,Diesel,Kombi,125000,174350,716.95,https://www.blocket.se/annons/1401810807
SWS333,2019,Diesel,SUV,165000,99570,1657.13,https://www.blocket.se/annons/1401827121
DMA15H,2020,El,Skåpbil,150000,47000,3191.49,https://www.blocket.se/annons/1401822010
YDR659,2017,Bensin,SUV,339000,113030,2999.2,https://www.blocket.se/annons/1401809752
JKA68E,2020,Bensin,Sedan,310000,69210,4479.12,https://www.blocket.se/annons/1401820635
PNW742,2015,Diesel,Kombi,190000,149570,1270.31,https://www.blocket.se/annons/1401817386
SSP906,2015,Bensin,Halvkombi,84000,63230,1328.48,https://www.blocket.se/annons/1401816322
JXR019,2015,Diesel,Skåpbil,72500,147360,491.99,https://www.blocket.se/annons/1401813581
PTB357,2019,Bensin,SUV,319900,121000,2643.8,https://www.blocket.se/annons/1401675227
DPD174,2015,Diesel,SUV,110000,175500,626.78,https://www.blocket.se/annons/1401809681
AUB03F,2021,Miljöbränsle/Hybrid,Halvkombi,228000,42340,5384.98,https://www.blocket.se/annons/1401821936
LBB92T,2017,Diesel,SUV,289000,216000,1337.96,https://www.blocket.se/annons/1401792537
EMM145,2019,Diesel,Kombi,195000,212000,919.81,https://www.blocket.se/annons/1401814793
SXP495,2015,Diesel,Cab,259000,61120,4237.57,https://www.blocket.se/annons/1401723565
JTX18Y,2021,Miljöbränsle/Hybrid,Kombi,309900,91500,3386.89,https://www.blocket.se/annons/1401815816
JFR985,2016,Bensin,Halvkombi,99000,175400,564.42,https://www.blocket.se/annons/1401822515
OHZ027,2017,El,Halvkombi,62000,74690,830.1,https://www.blocket.se/annons/1401811136
JGP534,2016,Diesel,Halvkombi,125000,177600,703.83,https://www.blocket.se/annons/1401816439
YRL891,2019,Diesel,Halvkombi,155000,166520,930.82,https://www.blocket.se/annons/1401817709
YEB688,2016,Diesel,Kombi,205000,124770,1643.02,https://www.blocket.se/annons/1401669696
